"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3"
"JBS","칼","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅋ","ㅏ","ㄹ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","땅","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄸ","ㅏ","ㅇ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","봄","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅂ","ㅗ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","꿀","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄲ","ㅜ","ㄹ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","맛","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅁ","ㅏ","ㅅ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","옷","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅇ","ㅗ","ㅅ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","길","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄱ","ㅣ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_공명자음","","","","","","","","",""
"JBS","강","","","고유어1","","","H(H)_1","부산",60,"여",1,"ㄱ","ㅏ","ㅇ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","비","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅂ","ㅣ",""," "," ",""," "," ","","","","","평파열음_평파찰음","","개음절","","","","","","","","",""
"JBS","붓","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅂ","ㅜ","ㅅ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","끝","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄲ","ㅡ","ㅌ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_평파열음","","","","","","","","",""
