"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3","Wz","w1","w2","w3","w4","W3","W2","w1f","w2f","w3f","w4f","weight","weigth_comb","weigth_comb2","weigth_comb3","weigth_comb4"
"LHB","가오리","","","고유어3","1","","LHL","부산",20,"여",3,"ㄱ","ㅏ","","ㅇ","ㅗ","","ㄹ","ㅣ","","","","","lax","sg","light","son","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","무더기","","","고유어3","1","","LHL","부산",20,"여",3,"ㅁ","ㅜ","","ㄷ","ㅓ","","ㄱ","ㅣ","","","","","son","sg","light","lax","sg","light","lax","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","사마귀","","","고유어3","1","","LHH","부산",20,"여",3,"ㅅ","ㅏ","","ㅁ","ㅏ","","ㄱ","ㅟ","","","","","fri","sg","light","son","sg","light","lax","dp","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","막때기","","","고유어3","1","","LHL","부산",20,"여",3,"ㅁ","ㅏ","ㄱ","ㄸ","ㅐ","","ㄱ","ㅣ","","","","","son","sg","obs","tsasp","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","갈매기","","","고유어3","1","","LHL","부산",20,"여",3,"ㄱ","ㅏ","ㄹ","ㅁ","ㅐ","","ㄱ","ㅣ","","","","","lax","sg","son","son","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","코끼리","","","고유어3","1","","LHH","부산",20,"여",3,"ㅋ","ㅗ","","ㄲ","ㅣ","","ㄹ","ㅣ","","","","","tsasp","sg","light","tsasp","","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","이야기","","","고유어3","1","","LHH","부산",20,"여",3,"ㅇ","ㅣ","","ㅇ","ㅑ","","ㄱ","ㅣ","","","","","son","","light","son","dp","light","lax","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","진달래","","","고유어3","1","","LHL","부산",20,"여",3,"ㅈ","ㅣ","ㄴ","ㄷ","ㅏ","ㄹ","ㄹ","ㅐ","","","","","lax","","son","lax","sg","son","son","sg","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","수제비","","","고유어3","1","","LHL","부산",20,"여",3,"ㅅ","ㅜ","","ㅈ","ㅔ","","ㅂ","ㅣ","","","","","fri","sg","light","lax","sg","light","lax","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","가마니","","","고유어3","1","","LHL","부산",20,"여",3,"ㄱ","ㅏ","","ㅁ","ㅏ","","ㄴ","ㅣ","","","","","lax","sg","light","son","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","가마이","~","","고유어3","1","","","부산",20,"여",3,"ㄱ","ㅏ","","ㅁ","ㅏ","","ㅇ","ㅣ","","","","","lax","sg","light","son","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","가랭이","","","고유어3","1","","LHL","부산",20,"여",3,"ㄱ","ㅏ","","ㄹ","ㅐ","ㅇ","ㅇ","ㅣ","","","","","lax","sg","light","son","sg","son","son","","light","","","","0100",0,1,0,0,"010","01","light","heavy","light","light",3,"light-heavy-light","light-heavy","X-heavy-light","light-heavy-light-light"
"LHB","정구지","","","고유어3","1","","LHL","부산",20,"여",3,"ㅈ","ㅓ","ㅇ","ㄱ","ㅜ","","ㅈ","ㅣ","","","","","lax","sg","son","lax","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","고라니","","","고유어3","1","","LHL","부산",20,"여",3,"ㄱ","ㅗ","","ㄹ","ㅏ","","ㄴ","ㅣ","","","","","lax","sg","light","son","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","설거지","","","고유어3","1","","LHL","부산",20,"여",3,"ㅅ","ㅓ","ㄹ","ㄱ","ㅓ","","ㅈ","ㅣ","","","","","fri","sg","son","lax","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","장도리","","","고유어3","1","","","부산",20,"여",3,"ㅈ","ㅏ","ㅇ","ㄷ","ㅗ","","ㄹ","ㅣ","","","","","lax","sg","son","lax","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","대나무","","","고유어3","1","","LHH","부산",20,"여",3,"ㄷ","ㅐ","","ㄴ","ㅏ","","ㅁ","ㅜ","","","","","lax","sg","light","son","sg","light","son","sg","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","봉오리","","","고유어3","1","","LHL","부산",20,"여",3,"ㅂ","ㅗ","ㅇ","ㅇ","ㅗ","","ㄹ","ㅣ","","","","","lax","sg","son","son","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","무지개","","","고유어3","1","","LHL","부산",20,"여",3,"ㅁ","ㅜ","","ㅈ","ㅣ","","ㄱ","ㅐ","","","","","son","sg","light","lax","","light","lax","sg","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","재채기","","","고유어3","1","","LHL","부산",20,"여",3,"ㅈ","ㅐ","","ㅊ","ㅐ","","ㄱ","ㅣ","","","","","lax","sg","light","tsasp","sg","light","lax","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","당나기","","","고유어3","1","","LHL","부산",20,"여",3,"ㄷ","ㅏ","ㅇ","ㄴ","ㅏ","","ㄱ","ㅣ","","","","","lax","sg","son","son","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","볼거리","","","고유어3","1","","","부산",20,"여",3,"ㅂ","ㅗ","ㄹ","ㄱ","ㅓ","","ㄹ","ㅣ","","","","","lax","sg","son","lax","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","볼치기","","","고유어3","","","","부산",20,"여",3,"ㅂ","ㅗ","ㄹ","ㅊ","ㅣ","","ㄱ","ㅣ","","","","","lax","sg","son","tsasp","","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","거진말","","","고유어3","1","","LHH","부산",20,"여",3,"ㄱ","ㅓ","","ㅈ","ㅣ","ㄴ","ㅁ","ㅏ","ㄹ","","","","lax","sg","light","lax","","son","son","sg","son","","","","0110",0,1,1,0,"011","01","light","heavy","heavy","light",4,"light-heavy-heavy","light-heavy","X-heavy-heavy","light-heavy-heavy-light"
"LHB","강냉이","","","고유어3","1","","LHL","부산",20,"여",3,"ㄱ","ㅏ","ㅇ","ㄴ","ㅐ","ㅇ","ㅇ","ㅣ","","","","","lax","sg","son","son","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","강내이","~","","고유어3","1","","","부산",20,"여",3,"ㄱ","ㅏ","ㅇ","ㄴ","ㅐ","","ㅇ","ㅣ","","","","","lax","sg","son","son","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","다리미","","","고유어3","1","","LHL","부산",20,"여",3,"ㄷ","ㅏ","","ㄹ","ㅣ","","ㅁ","ㅣ","","","","","lax","sg","light","son","","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","자갈치","","","고유어3","1","","LHL","부산",20,"여",3,"ㅈ","ㅏ","","ㄱ","ㅏ","ㄹ","ㅊ","ㅣ","","","","","lax","sg","light","lax","sg","son","tsasp","","light","","","","0100",0,1,0,0,"010","01","light","heavy","light","light",3,"light-heavy-light","light-heavy","X-heavy-light","light-heavy-light-light"
"LHB","웅덩이","","","고유어3","1","","LHL","부산",20,"여",3,"ㅇ","ㅜ","ㅇ","ㄷ","ㅓ","ㅇ","ㅇ","ㅣ","","","","","son","sg","son","lax","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","번데기","","","고유어3","1","","","부산",20,"여",3,"ㅂ","ㅓ","ㄴ","ㄷ","ㅔ","","ㄱ","ㅣ","","","","","lax","sg","son","lax","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","꼭때기","","","고유어3","1","","LHL","부산",20,"여",3,"ㄲ","ㅗ","ㄱ","ㄸ","ㅐ","","ㄱ","ㅣ","","","","","tsasp","sg","obs","tsasp","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
